key,summary,assignee,priority,status,last_updated,url
KAFKA-20025,Missing dynamic SSL reconfiguration support for KafkaRaftClient,Unassigned,Major,Patch Available,2026-04-16,https://issues.apache.org/jira/browse/KAFKA-20025
KAFKA-19674,Disallow create too many partitions in ZK mode,Unassigned,Major,Patch Available,2026-04-24,https://issues.apache.org/jira/browse/KAFKA-19674
KAFKA-19673,Disallow create too many partitions also in createPartitions,Unassigned,Major,Patch Available,2026-05-07,https://issues.apache.org/jira/browse/KAFKA-19673
KAFKA-18994,Wrong configuration in docker-compose.yml example,Unassigned,Minor,Patch Available,2025-03-15,https://issues.apache.org/jira/browse/KAFKA-18994
KAFKA-18852,ApiVersions should use Concurrent Collections instead of sychronised,Unassigned,Minor,Patch Available,2025-02-24,https://issues.apache.org/jira/browse/KAFKA-18852
KAFKA-16951,TransactionManager should rediscover coordinator on disconnection,Unassigned,Major,Patch Available,2025-06-01,https://issues.apache.org/jira/browse/KAFKA-16951
KAFKA-16923,New Unit Test for stripDotPathComponents method,Unassigned,Minor,Patch Available,2024-07-15,https://issues.apache.org/jira/browse/KAFKA-16923
KAFKA-16902,Sender ignores socket connection timeout when reconnecting to transaction coordi,Unassigned,Minor,Patch Available,2025-05-05,https://issues.apache.org/jira/browse/KAFKA-16902
KAFKA-16444,Run KIP-848 unit tests under code coverage,Unassigned,Minor,Reopened,2024-10-16,https://issues.apache.org/jira/browse/KAFKA-16444
KAFKA-16130,Write a junit test for ZK migration rollback,Unassigned,Major,Reopened,2024-08-28,https://issues.apache.org/jira/browse/KAFKA-16130
KAFKA-16070,Extract the setReadOnly method into Headers,Unassigned,Major,In Progress,2024-04-03,https://issues.apache.org/jira/browse/KAFKA-16070
KAFKA-15891,Flaky test: testResetSinkConnectorOffsetsOverriddenConsumerGroupId – org.apache.,Unassigned,Major,In Progress,2025-05-13,https://issues.apache.org/jira/browse/KAFKA-15891
KAFKA-15376,Explore options of removing data earlier to the current leader's leader epoch li,Unassigned,Major,Reopened,2025-01-09,https://issues.apache.org/jira/browse/KAFKA-15376
KAFKA-15198,Improve version release scripts,Unassigned,Major,In Progress,2024-09-05,https://issues.apache.org/jira/browse/KAFKA-15198
KAFKA-15075,MM2 internal checkpoints topic should support multiple partitions,Unassigned,Major,In Progress,2024-08-30,https://issues.apache.org/jira/browse/KAFKA-15075
KAFKA-15057,Use new interface ZstdBufferDecompressingStreamNoFinalizer from zstd-jni,Unassigned,Major,Patch Available,2025-01-07,https://issues.apache.org/jira/browse/KAFKA-15057
KAFKA-14956,Flaky test org.apache.kafka.connect.integration.OffsetsApiIntegrationTest#testGe,Unassigned,Major,Reopened,2024-06-30,https://issues.apache.org/jira/browse/KAFKA-14956
KAFKA-14908,"Sporadic ""Address already in use"" when starting kafka cluster embedded within te",Unassigned,Major,Reopened,2025-10-15,https://issues.apache.org/jira/browse/KAFKA-14908
KAFKA-14858,Standalone herder does not handle exceptions thrown from connector taskConfigs m,Unassigned,Major,Patch Available,2024-06-30,https://issues.apache.org/jira/browse/KAFKA-14858
KAFKA-14598,Fix flaky ConnectRestApiTest,Unassigned,Minor,Reopened,2023-12-06,https://issues.apache.org/jira/browse/KAFKA-14598
KAFKA-14492,Extract a method to create LogManager; in order to be overrided by subclass of K,Unassigned,Minor,Patch Available,2024-12-27,https://issues.apache.org/jira/browse/KAFKA-14492
KAFKA-14371,quorum-state file contains empty/unused clusterId field,Unassigned,Minor,Reopened,2023-03-07,https://issues.apache.org/jira/browse/KAFKA-14371
KAFKA-14336,Reduce allocations from MetadataResponse#convertToNodeArray,Unassigned,Minor,Patch Available,2024-08-19,https://issues.apache.org/jira/browse/KAFKA-14336
KAFKA-14318,KIP-878: Autoscaling for Statically Partitioned Streams,Unassigned,Major,Reopened,2023-04-14,https://issues.apache.org/jira/browse/KAFKA-14318
KAFKA-14165,ConfigTransformer.DEFAULT_PATTERN fails on Windows platform,Unassigned,Major,In Progress,2022-09-05,https://issues.apache.org/jira/browse/KAFKA-14165
KAFKA-14081,Cannot get my MetricsReporter implementation to receive meaningful metrics,Unassigned,Minor,Patch Available,2025-01-27,https://issues.apache.org/jira/browse/KAFKA-14081
KAFKA-13688,Incorrect metrics in KafkaController for replicasToDeleteCount and ineligibleRep,Unassigned,Major,Patch Available,2023-07-14,https://issues.apache.org/jira/browse/KAFKA-13688
KAFKA-13508,"Introduction of ""-head"" flag for describe tool for broker",Unassigned,Minor,In Progress,2024-06-25,https://issues.apache.org/jira/browse/KAFKA-13508
KAFKA-13501,Avoid state restore via rebalance if standbys are enabled,Unassigned,Major,Patch Available,2024-07-25,https://issues.apache.org/jira/browse/KAFKA-13501
KAFKA-13421,Fix ConsumerBounceTest#testRollingBrokerRestartsWithSmallerMaxGroupSizeConfigDis,Unassigned,Major,Reopened,2025-12-10,https://issues.apache.org/jira/browse/KAFKA-13421
KAFKA-13411,Exception while connecting from kafka client consumer producers deployed in a wi,Unassigned,Major,Patch Available,2025-01-25,https://issues.apache.org/jira/browse/KAFKA-13411
KAFKA-13244,Control Which Brokers Host Partitions of Newly Created Topics,Unassigned,Minor,Patch Available,2024-12-24,https://issues.apache.org/jira/browse/KAFKA-13244
KAFKA-13152,"Replace ""buffered.records.per.partition"" & ""cache.max.bytes.buffering"" with ""{st",Unassigned,Major,Patch Available,2026-04-14,https://issues.apache.org/jira/browse/KAFKA-13152
KAFKA-12811,kafka-topics.sh should let the user know they cannot adjust the replication fact,Unassigned,Trivial,Patch Available,2025-01-02,https://issues.apache.org/jira/browse/KAFKA-12811
KAFKA-12693,Consecutive rebalances with zombie instances may cause corrupted changelogs,Unassigned,Major,In Progress,2025-01-02,https://issues.apache.org/jira/browse/KAFKA-12693
KAFKA-12481,Add socket.nagle.disable config to reduce number of packets ,Unassigned,Major,Patch Available,2025-02-03,https://issues.apache.org/jira/browse/KAFKA-12481
KAFKA-12416,Group Coordinator followers are failing with OffsetsOutOfOrderException,Unassigned,Major,Reopened,2021-03-05,https://issues.apache.org/jira/browse/KAFKA-12416
