key,summary,assignee,priority,status,last_updated,url
KAFKA-20195,Better offset reset functionality for the new consumer group rebalance protocol,Levani Kokhreidze,Major,In Progress,2026-02-18,https://issues.apache.org/jira/browse/KAFKA-20195
KAFKA-20088,CIDR-based Host Patterns for ACLs,Maros Orsak,Major,In Progress,2026-01-25,https://issues.apache.org/jira/browse/KAFKA-20088
KAFKA-20029,Disallow partition count increase for __transaction_state.,sanghyeok An,Minor,In Progress,2026-01-07,https://issues.apache.org/jira/browse/KAFKA-20029
KAFKA-19989,coordinator-common | Fix order of arguments in assertEquals() in unit tests,Ksolves India Limited,Minor,In Progress,2025-12-12,https://issues.apache.org/jira/browse/KAFKA-19989
KAFKA-19986,Server | Fix order of arguments of assertEquals in unit tests,Ksolves India Limited,Trivial,In Progress,2025-12-22,https://issues.apache.org/jira/browse/KAFKA-19986
KAFKA-19936,ReplicaManager counts duplicated records to BytesInPerSec and MessagesInPerSec m,PoAn Yang,Major,In Progress,2026-01-03,https://issues.apache.org/jira/browse/KAFKA-19936
KAFKA-19910,Support rack awareness in UniformHeterogeneousAssignmentBuilder,PoAn Yang,Major,In Progress,2025-11-23,https://issues.apache.org/jira/browse/KAFKA-19910
KAFKA-19901,improve the error message when changing the configuration of dynamic voters,HongYi Chen,Minor,In Progress,2025-12-01,https://issues.apache.org/jira/browse/KAFKA-19901
KAFKA-19670,Unify the command-line parser,HongYi Chen,Major,In Progress,2025-09-10,https://issues.apache.org/jira/browse/KAFKA-19670
KAFKA-19613,Expose consumer CorruptRecordException,Uladzislau Blok,Minor,In Progress,2026-01-15,https://issues.apache.org/jira/browse/KAFKA-19613
KAFKA-19430,Don't fail on RecordCorruptedException,Uladzislau Blok,Major,In Progress,2026-01-30,https://issues.apache.org/jira/browse/KAFKA-19430
KAFKA-19399,The version and source link in the `NOTICE-binary` file for `Mockito` are incons,Palak Kapoor,Minor,In Progress,2025-07-21,https://issues.apache.org/jira/browse/KAFKA-19399
KAFKA-19387,Support rack awareness in Range and Uniform assignors,PoAn Yang,Major,In Progress,2026-01-22,https://issues.apache.org/jira/browse/KAFKA-19387
KAFKA-19272,Handling different scenarios for initPid(keepPrepared=true),Ritika Reddy,Major,In Progress,2025-07-22,https://issues.apache.org/jira/browse/KAFKA-19272
KAFKA-19200,Indexes should be sanity checked on startup,Gaurav Narula,Major,In Progress,2025-05-01,https://issues.apache.org/jira/browse/KAFKA-19200
KAFKA-19167,Move RemoteLogManagerConfig out of KafkaConfig,HongYi Chen,Minor,In Progress,2025-09-01,https://issues.apache.org/jira/browse/KAFKA-19167
KAFKA-19097,Fix order of arguments to assertEquals,Ksolves India Limited,Minor,In Progress,2025-12-26,https://issues.apache.org/jira/browse/KAFKA-19097
KAFKA-19034,Rewrite RemoteTopicCrudTest by ClusterTest and move it to storage module,HongYi Chen,Major,In Progress,2025-05-25,https://issues.apache.org/jira/browse/KAFKA-19034
KAFKA-18877,an mechanism to find cases where we accessed variables from the wrong thread,TengYao Chi,Major,In Progress,2025-09-26,https://issues.apache.org/jira/browse/KAFKA-18877
KAFKA-18754,Allow PlainSaslServer to pass client info through the negotiated properties.,Nelson B.,Minor,In Progress,2026-01-28,https://issues.apache.org/jira/browse/KAFKA-18754
KAFKA-18721,Controller automatically detects and performs unclean elections,Jonah Hooper,Minor,In Progress,2025-04-01,https://issues.apache.org/jira/browse/KAFKA-18721
KAFKA-18717,Unclean Recovery: thread-pool,Jonah Hooper,Minor,In Progress,2025-04-01,https://issues.apache.org/jira/browse/KAFKA-18717
KAFKA-18716,Unclean Recovery: Election state-machine,Jonah Hooper,Major,In Progress,2025-04-01,https://issues.apache.org/jira/browse/KAFKA-18716
KAFKA-18715,Unclean Recovery: Aggressive strategy,Jonah Hooper,Major,In Progress,2025-04-01,https://issues.apache.org/jira/browse/KAFKA-18715
KAFKA-18707,Move KRaftMetadataCachePublisher to metadata module,PoAn Yang,Major,In Progress,2025-02-04,https://issues.apache.org/jira/browse/KAFKA-18707
KAFKA-18644,Improve type safety in DSL code,Matthias J. Sax,Major,In Progress,2025-02-06,https://issues.apache.org/jira/browse/KAFKA-18644
KAFKA-18602,Incorrect FinalizedVersionLevel reported for dynamic KRaft quorum.,PoAn Yang,Critical,In Progress,2025-04-10,https://issues.apache.org/jira/browse/KAFKA-18602
KAFKA-18333,Simulation test should include invariant that quorum state never loses state,PoAn Yang,Major,In Progress,2025-01-17,https://issues.apache.org/jira/browse/KAFKA-18333
KAFKA-18166,Indefinite timeout when publishing events to RLMM (RemoteLogMetadataManager),PoAn Yang,Minor,In Progress,2025-12-15,https://issues.apache.org/jira/browse/KAFKA-18166
KAFKA-18039,Test all versions of quorum responses in RequestResponseTest ,Chu Cheng Li,Major,In Progress,2025-04-14,https://issues.apache.org/jira/browse/KAFKA-18039
KAFKA-17849,Remove  UnsupportedOperationException  in MockController,TaiJuWu,Minor,In Progress,2024-12-02,https://issues.apache.org/jira/browse/KAFKA-17849
KAFKA-17828,Reverse Checkpointing in MirrorMaker2,Daniel Urban,Major,In Progress,2025-06-11,https://issues.apache.org/jira/browse/KAFKA-17828
KAFKA-17815,migrate vagrant from zk to kraft,PoAn Yang,Major,In Progress,2025-02-21,https://issues.apache.org/jira/browse/KAFKA-17815
KAFKA-17694,Migrate SaslClientsWithInvalidCredentialsTest to new test infra,PoAn Yang,Major,In Progress,2025-04-01,https://issues.apache.org/jira/browse/KAFKA-17694
KAFKA-17628,Automate workflow approvals for CI,David Arthur,Minor,In Progress,2024-09-27,https://issues.apache.org/jira/browse/KAFKA-17628
KAFKA-17601,Inter-broker connections do not expose their clientSoftwareName and clientSoftwa,PoAn Yang,Minor,In Progress,2025-11-14,https://issues.apache.org/jira/browse/KAFKA-17601
KAFKA-17523,Connectors should be able to override offset.flush.interval.ms,Gergely Harmadás,Major,In Progress,2025-12-11,https://issues.apache.org/jira/browse/KAFKA-17523
KAFKA-17503,The poll-idle-ratio-avg consumer metric is calculated incorrectly,Stig Rohde Døssing,Minor,In Progress,2025-06-01,https://issues.apache.org/jira/browse/KAFKA-17503
