key,summary,assignee,priority,status,last_updated,url
KAFKA-20188,Implement timeout/expiration for OffsetsRequestManager.fetchOffsets(),Kirk True,Major,Open,2026-02-13,https://issues.apache.org/jira/browse/KAFKA-20188
KAFKA-20186,Cluster Mirroring,Federico Valeri,Major,Open,2026-02-14,https://issues.apache.org/jira/browse/KAFKA-20186
KAFKA-20180,Add last-applied-record-latency metric for brokers,Kevin Wu,Major,Open,2026-02-17,https://issues.apache.org/jira/browse/KAFKA-20180
KAFKA-20175,Introduce new MetadataVersion for ClusterIdRecord,Kevin Wu,Major,Open,2026-02-11,https://issues.apache.org/jira/browse/KAFKA-20175
KAFKA-20174,Auto-formatting for KRaft observers,Kevin Wu,Major,Open,2026-02-11,https://issues.apache.org/jira/browse/KAFKA-20174
KAFKA-20172,Support online migration between classic and streams rebalance protocols,Unassigned,Major,Open,2026-02-11,https://issues.apache.org/jira/browse/KAFKA-20172
KAFKA-20154,Migrate Kakfa - client and non-client modules to Java 21(JDK 21),Sujay Hegde,Major,Open,2026-02-12,https://issues.apache.org/jira/browse/KAFKA-20154
KAFKA-20151,Provide and execution Strategy for adding C4 diagram architecture,Sujay Hegde,Major,Open,2026-02-08,https://issues.apache.org/jira/browse/KAFKA-20151
KAFKA-20149,C4 Architecture Diagram for Apache Kafka Ecosystem,Sujay Hegde,Major,Open,2026-02-07,https://issues.apache.org/jira/browse/KAFKA-20149
KAFKA-20143,Add javadoc to org.apache.kafka.tools.api module,Ken Huang,Major,Open,2026-02-08,https://issues.apache.org/jira/browse/KAFKA-20143
KAFKA-20142,Add javadoc to org.apache.kafka.streams module,Ken Huang,Minor,Open,2026-02-09,https://issues.apache.org/jira/browse/KAFKA-20142
KAFKA-20141,Add javadoc to org.apache.kafka.server module,Ken Huang,Minor,Open,2026-02-08,https://issues.apache.org/jira/browse/KAFKA-20141
KAFKA-20140,Add javadoc to org.apache.kafka.coordinator.group.api.assignor module,Ken Huang,Minor,Open,2026-02-06,https://issues.apache.org/jira/browse/KAFKA-20140
KAFKA-20139,Add javadoc to org.apache.kafka.connect module,Ken Huang,Minor,Open,2026-02-08,https://issues.apache.org/jira/browse/KAFKA-20139
KAFKA-20138,Add javadoc to org.apache.kafka.common module,Ken Huang,Minor,Open,2026-02-08,https://issues.apache.org/jira/browse/KAFKA-20138
KAFKA-20133,Implement TimestampedWindowStoreWithHeaders,Unassigned,Major,Open,2026-02-06,https://issues.apache.org/jira/browse/KAFKA-20133
KAFKA-20126,Add javadoc to public APIs,Chia-Ping Tsai,Major,Open,2026-02-12,https://issues.apache.org/jira/browse/KAFKA-20126
KAFKA-20123,Use re2j for regex matching in Connect runtime,Mickael Maison,Major,Open,2026-02-04,https://issues.apache.org/jira/browse/KAFKA-20123
KAFKA-20107,"constraint on segment.bytes is only enforced in static broker config, but not in topic config",TaiJuWu,Major,Open,2026-01-31,https://issues.apache.org/jira/browse/KAFKA-20107
KAFKA-20104,Inquiry about migrating from ZooKeeper to KRaft,Unassigned,Minor,Open,2026-01-30,https://issues.apache.org/jira/browse/KAFKA-20104
KAFKA-20102,Preparations for Gradle 10,Unassigned,Minor,Open,2026-01-29,https://issues.apache.org/jira/browse/KAFKA-20102
KAFKA-20101,Support org.apache.kafka.sasl.oauthbearer.allowed.urls=*,Unassigned,Major,Open,2026-02-12,https://issues.apache.org/jira/browse/KAFKA-20101
KAFKA-20098,Create a command line tool for unclean-recovery,Unassigned,Minor,Open,2026-01-28,https://issues.apache.org/jira/browse/KAFKA-20098
KAFKA-20095,Unnecessary triggers to delayed share fetch purgatory when no data fetched,Abhinav Dixit,Major,Open,2026-01-27,https://issues.apache.org/jira/browse/KAFKA-20095
