key,summary,assignee,priority,status,last_updated,fix_versions,url
KAFKA-19438,Request for Assistance: FileSystemException Errors on Kafka Log Cleanup in Windows (KRaft and Zookeeper Modes),Unassigned,Critical,Open,2025-06-28,3.3.0,https://issues.apache.org/jira/browse/KAFKA-19438
KAFKA-18233,Mirrormaker 2 All Checkpoint Connector CPC tasks graceful shutdown fails after which the consumer group offsets are not replicated .,Unassigned,Major,Open,2024-12-13,3.5.1,https://issues.apache.org/jira/browse/KAFKA-18233
KAFKA-17840,"Move ReplicationQuotaManager, ClientRequestQuotaManager and QuotaFactory to server module",PoAn Yang,Major,Reopened,2026-03-23,4.0.0,https://issues.apache.org/jira/browse/KAFKA-17840
KAFKA-17504,An error related to EKU(Extended key usage) in Kafka versions beyond 3.3.1,Unassigned,Major,Open,2024-09-09,3.3.1,https://issues.apache.org/jira/browse/KAFKA-17504
KAFKA-17490,UpdateMetadataRequest failed because of ClusterAuthorizationException,jirar,Major,Patch Available,2024-09-06,2.8.2,https://issues.apache.org/jira/browse/KAFKA-17490
KAFKA-17107,Backport of PR-15327,Kartik Goyal,Major,Open,2024-07-10,3.6.2,https://issues.apache.org/jira/browse/KAFKA-17107
KAFKA-16848,"Reverting KRaft migration for ""Migrating brokers to KRaft"" state is wrong",Edgar,Major,Patch Available,2024-09-24,3.7.0,https://issues.apache.org/jira/browse/KAFKA-16848
KAFKA-16808,Consumer join Group response contains 2 different members,Unassigned,Critical,Open,2024-05-21,2.8.0,https://issues.apache.org/jira/browse/KAFKA-16808
KAFKA-16699,Have Streams treat InvalidPidMappingException like a ProducerFencedException,Walker Carlson,Major,Patch Available,2024-11-20,3.8.0,https://issues.apache.org/jira/browse/KAFKA-16699
KAFKA-16145,Windows Kafka Shutdown,Unassigned,Major,Open,2024-02-14,3.6.0,https://issues.apache.org/jira/browse/KAFKA-16145
KAFKA-15369,Allow AdminClient to Talk Directly with the KRaft Controller Quorum and add Controller Registration,Colin McCabe,Major,Reopened,2025-01-07,3.7.0,https://issues.apache.org/jira/browse/KAFKA-15369
