key,summary,assignee,priority,status,last_updated,url
KAFKA-19889,max.connections.per.ip.overrides does not apply overrides to all IPs for multi-IP hostnames,Vadym Zhytkevych,Minor,Patch Available,2026-02-15,https://issues.apache.org/jira/browse/KAFKA-19889
KAFKA-19850,KRaft voter auto join will add a removed voter immediately,TaiJuWu,Major,Patch Available,2025-12-03,https://issues.apache.org/jira/browse/KAFKA-19850
KAFKA-19806,Hook to enable / disable multi-partition remote fetch feature,Kamal Chandraprakash,Major,Patch Available,2025-10-21,https://issues.apache.org/jira/browse/KAFKA-19806
KAFKA-19472,A BufferOverflowException is thrown by RemoteLogManager when FetchApiVersion <= 2,dyingjiecai,Major,Patch Available,2025-11-06,https://issues.apache.org/jira/browse/KAFKA-19472
KAFKA-19276,Compare assignment configuration only when assignment related configurations are updated,Uladzislau Blok,Minor,Patch Available,2026-02-08,https://issues.apache.org/jira/browse/KAFKA-19276
KAFKA-19039,The refresh_collaborators.py script messes .asf.yaml,Siyang He,Major,Patch Available,2025-11-13,https://issues.apache.org/jira/browse/KAFKA-19039
KAFKA-18994,Wrong configuration in docker-compose.yml example,Unassigned,Minor,Patch Available,2025-03-15,https://issues.apache.org/jira/browse/KAFKA-18994
KAFKA-18982,Allow ClusterTests to ignore specific thread leaks,Edoardo Comar,Minor,Patch Available,2025-07-31,https://issues.apache.org/jira/browse/KAFKA-18982
KAFKA-18873,Incorrect error message for max.in.flight.requests.per.connection when using transactional producer.,Eslam Mohamed,Minor,Patch Available,2025-08-17,https://issues.apache.org/jira/browse/KAFKA-18873
KAFKA-18852,ApiVersions should use Concurrent Collections instead of sychronised,Unassigned,Minor,Patch Available,2025-02-24,https://issues.apache.org/jira/browse/KAFKA-18852
KAFKA-18785,Add emitStrategy for co-grouped windowed aggrgation,Nil Madhab,Major,Patch Available,2025-02-23,https://issues.apache.org/jira/browse/KAFKA-18785
KAFKA-18461,QuorumControllerMetricsIntegrationTest.testFailingOverIncrementsNewActiveControllerCount flaky failing with NPE,Ryan Ye,Major,Patch Available,2025-12-22,https://issues.apache.org/jira/browse/KAFKA-18461
KAFKA-18337, KafkaProducer Memory Leak in JmxReporter Class,MaoWei Tian,Major,Patch Available,2025-05-28,https://issues.apache.org/jira/browse/KAFKA-18337
KAFKA-18299,Promote Kafka Connect data package as a dedicated module,Mario Fiore Vitale,Major,Patch Available,2025-06-04,https://issues.apache.org/jira/browse/KAFKA-18299
KAFKA-18024,ConcurrentModificationException in Kafka OffsetFetcher - Proposal for Thread-Safety Fix,Kamil Adam Nowak,Major,Patch Available,2025-10-10,https://issues.apache.org/jira/browse/KAFKA-18024
KAFKA-17993,reassign partition tool stuck with uncaught exception: 'value' field is too long to be serialized,Edoardo Comar,Major,Patch Available,2025-03-15,https://issues.apache.org/jira/browse/KAFKA-17993
KAFKA-17627,ConfigProvider TTLs do not restart Tasks,Spacrocket,Major,Patch Available,2025-02-28,https://issues.apache.org/jira/browse/KAFKA-17627
KAFKA-17599,Update Consumer Subscription with Current Assignment Before Partition Revocation,Pritam Kumar,Minor,Patch Available,2025-03-24,https://issues.apache.org/jira/browse/KAFKA-17599
KAFKA-17490,UpdateMetadataRequest failed because of ClusterAuthorizationException,jirar,Major,Patch Available,2024-09-06,https://issues.apache.org/jira/browse/KAFKA-17490
KAFKA-17456,Make sure FindCoordinatorResponse get created before consumer,TengYao Chi,Major,Patch Available,2025-05-20,https://issues.apache.org/jira/browse/KAFKA-17456
KAFKA-17264,"Audit validation of the new RPCs (AddVoter, RemoveVoter and UpdateVoter)",zhengke zhou,Major,Patch Available,2025-01-07,https://issues.apache.org/jira/browse/KAFKA-17264
KAFKA-17131,Cleanup `ProcessorContext` usage,Matthias J. Sax,Major,Patch Available,2025-01-24,https://issues.apache.org/jira/browse/KAFKA-17131
KAFKA-17115,Closing newly-created legacy consumers during rebalance can cause rebalances to hang,Chris Egerton,Major,Patch Available,2025-02-06,https://issues.apache.org/jira/browse/KAFKA-17115
KAFKA-17075,Use health check endpoint to verify Connect worker readiness in system tests,Chris Egerton,Major,Patch Available,2025-04-16,https://issues.apache.org/jira/browse/KAFKA-17075
KAFKA-16966,Allow offset commit fetch to reuse previous request if partitions are a subset,TaiJuWu,Minor,Patch Available,2025-03-17,https://issues.apache.org/jira/browse/KAFKA-16966
