key,summary,assignee,priority,status,last_updated,url
"SERVER-126329","Expose the most recent optime per collection ","Unassigned","Major - P3","Needs Verification","2026-05-08","https://jira.mongodb.org/browse/SERVER-126329"
"SERVER-120667","Add information about failed storageStats fetching into the slow logs","Unassigned","Major - P3","Investigating","2026-03-18","https://jira.mongodb.org/browse/SERVER-120667"
"SERVER-119947","tassert setWindowFields sort by dotted path under meta field","Unassigned","Major - P3","In Progress","2026-03-04","https://jira.mongodb.org/browse/SERVER-119947"
"SERVER-117001","$listSearchIndexes behavior should be consistent with other aggregations when th","Unassigned","Major - P3","Investigating","2026-03-13","https://jira.mongodb.org/browse/SERVER-117001"
"SERVER-111670","Investigate using chained replication to reduce RCI mutex contention","Unassigned","Major - P3","In Progress","2026-02-23","https://jira.mongodb.org/browse/SERVER-111670"
"SERVER-109316","Add backup logging for broken stacks","Unassigned","Major - P3","In Code Review","2026-03-09","https://jira.mongodb.org/browse/SERVER-109316"
"SERVER-109039","Coverity analysis defect 149655: Dereference before null check","Unassigned","Major - P3","In Progress","2025-11-17","https://jira.mongodb.org/browse/SERVER-109039"
"SERVER-104927","Documentation Updates","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-104927"
"SERVER-104926","Enable feature flag","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-104926"
"SERVER-104925","Create feature flag","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-104925"
"SERVER-104680","Feature Flag Upgrade/Downgrade Testing","Unassigned","Major - P3","Needs Verification","2025-05-05","https://jira.mongodb.org/browse/SERVER-104680"
"SERVER-104679","Documentation Updates","Unassigned","Major - P3","Needs Verification","2025-05-05","https://jira.mongodb.org/browse/SERVER-104679"
"SERVER-104678","Grammar fuzzer changes","Unassigned","Major - P3","Needs Verification","2025-05-05","https://jira.mongodb.org/browse/SERVER-104678"
"SERVER-104677","Enable feature flag","Unassigned","Major - P3","Needs Verification","2025-05-05","https://jira.mongodb.org/browse/SERVER-104677"
"SERVER-104676","Create feature flag","Unassigned","Major - P3","Needs Verification","2025-05-05","https://jira.mongodb.org/browse/SERVER-104676"
"SERVER-103630","Documentation Updates","Unassigned","Major - P3","Needs Verification","2025-04-09","https://jira.mongodb.org/browse/SERVER-103630"
"SERVER-102424","Add DAO layer in resharding coordinator to ensure we always persist the document","Unassigned","Major - P3","In Progress","2026-01-13","https://jira.mongodb.org/browse/SERVER-102424"
"SERVER-102015","Feature Flag Upgrade/Downgrade Testing","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-102015"
"SERVER-102014","Documentation Updates","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-102014"
"SERVER-102013","Grammar fuzzer changes","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-102013"
"SERVER-101955","time_support.cpp: dateFromISOString rejects leap seconds","Unassigned","Major - P3","In Progress","2026-03-09","https://jira.mongodb.org/browse/SERVER-101955"
"SERVER-100379","Feature Flag Upgrade/Downgrade Testing","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-100379"
"SERVER-100378","Documentation Updates","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-100378"
"SERVER-100377","Grammar fuzzer changes","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-100377"
"SERVER-100376","Enable feature flag","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-100376"
"SERVER-100375","Create feature flag","Unassigned","Major - P3","Needs Verification","2026-05-13","https://jira.mongodb.org/browse/SERVER-100375"
"SERVER-98279","support tls 1.3 for windows","Unassigned","Major - P3","Investigating","2026-03-30","https://jira.mongodb.org/browse/SERVER-98279"
"SERVER-95241","Expose a version of mongo::shellExec that returns both the error code and stdout","Unassigned","Minor - P4","In Code Review","2024-10-16","https://jira.mongodb.org/browse/SERVER-95241"
"SERVER-94228","Support Date_t formatting and parsing of dates before 1970","Unassigned","Major - P3","In Progress","2026-03-09","https://jira.mongodb.org/browse/SERVER-94228"
"SERVER-94189","(Nice-to-have) Correct `$balancerConfiguration` enabled field value when mode is","Unassigned","Major - P3","Needs Merge","2024-09-16","https://jira.mongodb.org/browse/SERVER-94189"
"SERVER-93470","Make $unionWith support running aggregation stages that start with $queue (e.g.;","Unassigned","Major - P3","Needs Merge","2024-09-16","https://jira.mongodb.org/browse/SERVER-93470"
"SERVER-93361","(Nice-to-have) Include the draining state in the shards' section in $clusterTopo","Unassigned","Major - P3","Needs Merge","2024-09-16","https://jira.mongodb.org/browse/SERVER-93361"
"SERVER-93351","Modify $clusterTopology to use already defined error codes.","Unassigned","Major - P3","Needs Merge","2024-09-16","https://jira.mongodb.org/browse/SERVER-93351"
"SERVER-93066","Add $clusterTopology to the clusterManager role","Unassigned","Major - P3","Needs Merge","2024-09-16","https://jira.mongodb.org/browse/SERVER-93066"
"SERVER-92814","Start tracking timestamps on both primary and secondary using the oplog visibili","Unassigned","Major - P3","In Code Review","2024-09-09","https://jira.mongodb.org/browse/SERVER-92814"
"SERVER-92792","Implement the Zones section for the sharding configuration API","Unassigned","Major - P3","Needs Merge","2024-09-16","https://jira.mongodb.org/browse/SERVER-92792"
"SERVER-92263","Investigate usage of JIT for server side JS on atlas fleet","Unassigned","Major - P3","In Progress","2026-04-01","https://jira.mongodb.org/browse/SERVER-92263"
"SERVER-92099","Implement $balancerConfiguration aggregation stage","Unassigned","Major - P3","Needs Merge","2024-09-16","https://jira.mongodb.org/browse/SERVER-92099"
"SERVER-92098","Implement the Databases section for the sharding configuration API","Unassigned","Major - P3","Needs Merge","2024-09-16","https://jira.mongodb.org/browse/SERVER-92098"
"SERVER-92097","Implement the Active Mongoses section for the sharding configuration API","Unassigned","Major - P3","Needs Merge","2024-09-16","https://jira.mongodb.org/browse/SERVER-92097"
"SERVER-92096","Implement the Shards section for the sharding configuration API","Unassigned","Major - P3","Needs Merge","2024-09-16","https://jira.mongodb.org/browse/SERVER-92096"
"SERVER-90937","Tie operation timing more closely to object lifetime events","Unassigned","Major - P3","In Progress","2026-03-09","https://jira.mongodb.org/browse/SERVER-90937"
"SERVER-87657","Collect query stats for commands which error","Unassigned","Major - P3","In Progress","2026-05-18","https://jira.mongodb.org/browse/SERVER-87657"
"SERVER-84260","Record whether clients should advertise id_token in IdP metadata","Unassigned","Major - P3","Investigating","2026-05-13","https://jira.mongodb.org/browse/SERVER-84260"
