key,summary,assignee,priority,status,last_updated,url
SERVER-117950,Complete TODO listed in SERVER-92801,Zack Winter,Major - P3,In Progress,2026-02-10,https://jira.mongodb.org/browse/SERVER-117950
SERVER-117947,Complete TODO listed in SERVER-85819,Zack Winter,Major - P3,In Progress,2026-02-10,https://jira.mongodb.org/browse/SERVER-117947
SERVER-116042,Add functionality to build the MozJS WASM module with Bazel,Lee Maguire,Major - P3,In Progress,2026-02-12,https://jira.mongodb.org/browse/SERVER-116042
SERVER-114624,Fix incorrect use of TaskExecutor::scheduleRemoteCommand in ReplicaSetNodeProcessInterface,Henri Nikku,Major - P3,In Code Review,2026-01-14,https://jira.mongodb.org/browse/SERVER-114624
SERVER-114051,Deactivate SBOM Test Release task upload,Eduard Kovalets,Minor - P4,In Code Review,2025-11-18,https://jira.mongodb.org/browse/SERVER-114051
SERVER-110940,Test the multiplanner with CBR fallback combinations,Timour Katchaounov,Major - P3,In Progress,2026-01-26,https://jira.mongodb.org/browse/SERVER-110940
SERVER-110459,Audit perf workloads for coverage of memory-tracked stages,Chris Wolff,Major - P3,In Progress,2025-09-26,https://jira.mongodb.org/browse/SERVER-110459
SERVER-110439,Unify spilling metrics reported in serverStatus,Projjal Chanda,Major - P3,In Code Review,2025-12-01,https://jira.mongodb.org/browse/SERVER-110439
SERVER-110311,Move memory tracking from DocumentSourceGroup to agg::GroupStage,Romans Kasperovics,Major - P3,In Code Review,2025-09-16,https://jira.mongodb.org/browse/SERVER-110311
SERVER-109795,Reduce boiler-plates in QO->QE stage mapping code,Romans Kasperovics,Major - P3,In Code Review,2025-10-30,https://jira.mongodb.org/browse/SERVER-109795
SERVER-109039,Coverity analysis defect 149655: Dereference before null check,Unassigned,Major - P3,In Progress,2025-11-17,https://jira.mongodb.org/browse/SERVER-109039
SERVER-107902,Add 10gen/query as the codeowner for jstests/libs/cmd_object_utils.js,Catalin Sumanaru,Major - P3,In Code Review,2025-12-10,https://jira.mongodb.org/browse/SERVER-107902
SERVER-105088,[v8.0] Improve the error message displayed when FCV downgrade fails due to the presence of tracked collections,Anna Maria Nestorov,Major - P3,Needs Merge,2025-08-25,https://jira.mongodb.org/browse/SERVER-105088
SERVER-103010,Add resolved collation to query stats entries,Sam Mercier,Major - P3,In Progress,2026-01-06,https://jira.mongodb.org/browse/SERVER-103010
SERVER-102424,Add DAO layer in resharding coordinator to ensure we always persist the document,Unassigned,Major - P3,In Progress,2026-01-13,https://jira.mongodb.org/browse/SERVER-102424
SERVER-101222,Update stale comments for sharded $lookup and $graphLookup,Vijay Sarathy,Trivial - P5,In Code Review,2025-07-08,https://jira.mongodb.org/browse/SERVER-101222
SERVER-100804,NetworkInterface integration tests sometimes block without running the baton,Patrick Freed,Major - P3,In Code Review,2025-07-22,https://jira.mongodb.org/browse/SERVER-100804
SERVER-100539,Document existing orphan filter tests and propose improvements ,Colin Stolley,Major - P3,In Progress,2025-03-26,https://jira.mongodb.org/browse/SERVER-100539
SERVER-100217,[7.0] Background validation does not establish consistent collection,Gregory Wlodarek,Major - P3,Needs Merge,2025-04-29,https://jira.mongodb.org/browse/SERVER-100217
SERVER-98935,$elemMatch with nested $all is not reparseable ,Jess Balint,Major - P3,In Code Review,2026-01-30,https://jira.mongodb.org/browse/SERVER-98935
SERVER-98486,Document BSON Text Format,Jess Balint,Minor - P4,In Code Review,2025-12-12,https://jira.mongodb.org/browse/SERVER-98486
SERVER-95824,"Terminated<'\0', T> should not be used for writing.",Mathias Stearn,Major - P3,In Progress,2024-10-17,https://jira.mongodb.org/browse/SERVER-95824
SERVER-95241,Expose a version of mongo::shellExec that returns both the error code and stdout.,Unassigned,Minor - P4,In Code Review,2024-10-16,https://jira.mongodb.org/browse/SERVER-95241
SERVER-94189,"(Nice-to-have) Correct `$balancerConfiguration` enabled field value when ""mode"" is neither ""on"", ""off"" nor absent",Unassigned,Major - P3,Needs Merge,2024-09-16,https://jira.mongodb.org/browse/SERVER-94189
SERVER-93979,Miscellaneous fixes for ReplSetTest ShardingTest module conversion,Matt Broadstone,Major - P3,In Code Review,2024-08-23,https://jira.mongodb.org/browse/SERVER-93979
SERVER-93470,"Make $unionWith support running aggregation stages that start with $queue (e.g., $clusterTopology, $listZones, etc).",Unassigned,Major - P3,Needs Merge,2024-09-16,https://jira.mongodb.org/browse/SERVER-93470
SERVER-93361,"(Nice-to-have) Include the ""draining"" state in the shards' section in $clusterTopology",Unassigned,Major - P3,Needs Merge,2024-09-16,https://jira.mongodb.org/browse/SERVER-93361
SERVER-93351,Modify $clusterTopology to use already defined error codes.,Unassigned,Major - P3,Needs Merge,2024-09-16,https://jira.mongodb.org/browse/SERVER-93351
SERVER-93338,Investigate an issue that we can't generate sort key for non parallel arrays for multi-key path sort pattern,Alberto Massari,Major - P3,In Progress,2025-02-18,https://jira.mongodb.org/browse/SERVER-93338
SERVER-93066,Add $clusterTopology to the clusterManager role,Unassigned,Major - P3,Needs Merge,2024-09-16,https://jira.mongodb.org/browse/SERVER-93066
SERVER-92814,Start tracking timestamps on both primary and secondary using the oplog visibility manager,Unassigned,Major - P3,In Code Review,2024-09-09,https://jira.mongodb.org/browse/SERVER-92814
SERVER-92792,Implement the Zones section for the sharding configuration API,Unassigned,Major - P3,Needs Merge,2024-09-16,https://jira.mongodb.org/browse/SERVER-92792
SERVER-92099,Implement $balancerConfiguration aggregation stage,Unassigned,Major - P3,Needs Merge,2024-09-16,https://jira.mongodb.org/browse/SERVER-92099
SERVER-92098,Implement the Databases section for the sharding configuration API,Unassigned,Major - P3,Needs Merge,2024-09-16,https://jira.mongodb.org/browse/SERVER-92098
SERVER-92097,Implement the Active Mongoses section for the sharding configuration API,Unassigned,Major - P3,Needs Merge,2024-09-16,https://jira.mongodb.org/browse/SERVER-92097
SERVER-92096,Implement the Shards section for the sharding configuration API,Unassigned,Major - P3,Needs Merge,2024-09-16,https://jira.mongodb.org/browse/SERVER-92096
SERVER-91243,Coverity fails to understand smart pointer ownership in LazilyInitialized,Asya Kamsky,Major - P3,In Progress,2025-12-05,https://jira.mongodb.org/browse/SERVER-91243
SERVER-91035,Allow $collStats to targetAllNodes,Wesley Nabo,Major - P3,In Code Review,2025-09-04,https://jira.mongodb.org/browse/SERVER-91035
SERVER-88886,Anna perf tiger tracking ticket,Anna Wawrzyniak,Major - P3,In Progress,2024-05-20,https://jira.mongodb.org/browse/SERVER-88886
SERVER-83244,Evaluate the performance improvement in $search by doing ixscan/fetches in chunks,Anna Wawrzyniak,Major - P3,In Progress,2024-01-29,https://jira.mongodb.org/browse/SERVER-83244
SERVER-81983,Add server parameter to change_streams_downgrade definition,Sanika Phanse,Major - P3,In Code Review,2023-10-11,https://jira.mongodb.org/browse/SERVER-81983
SERVER-75942,Check that database name is valid UTF-8 when creating a new database ,Michael Gargiulo,Major - P3,In Progress,2025-06-10,https://jira.mongodb.org/browse/SERVER-75942
SERVER-56577,Architecture Guide updates for PM-2290,[DO NOT USE] Backlog - Cluster Scalability,Major - P3,In Progress,2023-11-28,https://jira.mongodb.org/browse/SERVER-56577
SERVER-17230,Replica set Primary should step down if Out of file descriptors,[DO NOT USE] Backlog - Replication Team,Major - P3,In Progress,2022-12-06,https://jira.mongodb.org/browse/SERVER-17230
