key,summary,assignee,priority,status,last_updated,url
"SERVER-121111","Add Logs for fragility in the transaction coordinator","Moustafa Maher","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-121111"
"SERVER-126452","drop_database.js: assertNamespacesExist fails in ContinuousAddRemoveShard suites","Kruti Shah","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-126452"
"SERVER-127066","Verify that upgrading/downgrading between collection usage and container usage f","Damian Wasilewicz","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-127066"
"SERVER-126288","Allow camel case in otel metric names","Michael Nugent","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-126288"
"SERVER-126277","[v8.3] Adjust configOnly mode code to 8.3 style and address PR comments","Igor Praznik","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-126277"
"SERVER-120970","Create in-memory state and create a new opObserver to handle operations blocking","Anna Maria Nestorov","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-120970"
"SERVER-114851","Turn off range deleter before starting reshardCollection and turn it back on upo","Sam Frank","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-114851"
"SERVER-126387","Add tests for injector tag and configOnly disabled to server_selector_test.cpp","Igor Praznik","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-126387"
"SERVER-111158","Split large change stream test files","Cian Nugent McGealy","Minor - P4","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-111158"
"SERVER-124050","Review eager_reaping test for authoritative collection metadata","Rustam Gusein-zade","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-124050"
"SERVER-122957","Make renameCollection commit remove shard catalog metadata for target collection","Jordi Olivares Provencio","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-122957"
"SERVER-122385","Enable disabled tests due to 8.3 FCV upgrade","Marco Bizzarri","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-122385"
"SERVER-100309","Remove featureFlagSessionsCollectionCoordinatorOnConfigServer","Pol Pinol","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-100309"
"SERVER-126209","Update sharding types to support the shardRef","Allison Easton","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-126209"
"SERVER-108852","Resharding participants don't handle change streams monitor failures immediately","Kruti Shah","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-108852"
"SERVER-109032","ReshardingChangeStreamMonitor on completion needs to be handled correctly","Kruti Shah","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-109032"
"SERVER-126789","Fix standby state across seals","Clarisse Cheah","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-126789"
"SERVER-126531","Fix standby crash on restart or reconnect post sealing","Clarisse Cheah","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-126531"
"SERVER-126364","Fix all servers returning stale LSN leading to write unavailability post seal","Clarisse Cheah","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-126364"
"SERVER-126793","Remove primary disconnection notification","Nic Hollingum","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-126793"
"SERVER-126342","Improve unit testing for ConnectionPool leasing","Cheahuychou Mao","Major - P3","Closed","2026-05-20","https://jira.mongodb.org/browse/SERVER-126342"
"SERVER-124516","Enable all Pyright rules in pyproject.toml that would currently succeed","Trevor Guidry","Major - P3","Closed","2026-05-20","https://jira.mongodb.org/browse/SERVER-124516"
"SERVER-125672","Skip writing reshardingFields at the resharding coordinator","Abdul Qadeer","Major - P3","Closed","2026-05-20","https://jira.mongodb.org/browse/SERVER-125672"
