key,summary,assignee,priority,status,last_updated,url
"SERVER-40918","Shard member sometimes backtraces when starting up a sharded cluster with TLS","Timothy Olsen","Major - P3","Open","2020-03-03","https://jira.mongodb.org/browse/SERVER-40918"
"SERVER-16526","Add db/collectionname validation to shell upgrade checker","DO NOT USE - Backlog - Platform Team","Major - P3","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-16526"
"SERVER-9218","Track Javascript Stats","DO NOT USE - Backlog - Platform Team","Major - P3","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-9218"
"SERVER-2999","Please add progress indicators to operations in the mongo shell","DO NOT USE - Backlog - Platform Team","Major - P3","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-2999"
"SERVER-11041","Index Diagnostic Shell Helper - diag.checkIndexes()","DO NOT USE - Backlog - Platform Team","Minor - P4","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-11041"
"SERVER-18375","High CPU during insert-only stress test due to heap contention on Windows","DO NOT USE - Backlog - Platform Team","Critical - P2","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-18375"
"SERVER-9278","Add counter for bad bson docs (from objCheck)","DO NOT USE - Backlog - Platform Team","Major - P3","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-9278"
"SERVER-15904","Inconsistent version output information from different binaries","DO NOT USE - Backlog - Platform Team","Trivial - P5","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-15904"
"SERVER-15546","Command response ok value is floating point; should be bool or int","DO NOT USE - Backlog - Platform Team","Minor - P4","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-15546"
"SERVER-9342","BSON storing 32 bit floats","DO NOT USE - Backlog - Platform Team","Major - P3","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-9342"
"SERVER-7101","Commands should error on missing/invalid parameters","DO NOT USE - Backlog - Platform Team","Major - P3","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-7101"
"SERVER-16903","Prevent query to single mongod from hanging during server power failure","DO NOT USE - Backlog - Platform Team","Major - P3","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-16903"
"SERVER-9833","Add coll.indexPagesInRAM shell helper","DO NOT USE - Backlog - Platform Team","Minor - P4","Open","2020-04-09","https://jira.mongodb.org/browse/SERVER-9833"
"SERVER-47217","Allow to check if a point is within ellipse on sphere","Katya Kamenieva","Major - P3","Open","2022-04-14","https://jira.mongodb.org/browse/SERVER-47217"
"SERVER-48143","Remove support for 'fsync' flag in writeConcern specifications leftover from mma","Michael Gargiulo","Major - P3","Open","2022-04-14","https://jira.mongodb.org/browse/SERVER-48143"
"SERVER-4637","E11000 (duplicate key error) should return a list of duplicate keys and _ids in ","Michael Gargiulo","Major - P3","Open","2022-04-14","https://jira.mongodb.org/browse/SERVER-4637"
"SERVER-18116","NUMA-aware memory allocation","DO NOT USE - Backlog - Platform Team","Major - P3","Open","2022-06-24","https://jira.mongodb.org/browse/SERVER-18116"
"SERVER-71478","Add method for knowing if we are a primary in ReplicationCoordinator","[DO NOT USE] Backlog - Replication Team","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-71478"
"SERVER-71240","Limit Oplog Growth when oplogMinRetentionHours is set","[DO NOT USE] Backlog - Replication Team","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-71240"
"SERVER-70862","Certain contexts blanked ban encrypted replacement in range query_analysis","[DO NOT USE] Backlog - Query Optimization","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-70862"
"SERVER-70312","Allow encrypted comparisons to constants across all numeric types","[DO NOT USE] Backlog - Query Optimization","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-70312"
"SERVER-69377","Support $elemMatch in query analysis","[DO NOT USE] Backlog - Query Optimization","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-69377"
"SERVER-54720","Make --system-wiredtiger work again","[DO NOT USE] Backlog - Storage Engines Team","Minor - P4","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-54720"
"SERVER-68277","Rewrite namespace on timeseries changestreams to buckets collection","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-68277"
"SERVER-68037","Redacted voting log message only shows partial response","[DO NOT USE] Backlog - Replication Team","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-68037"
"SERVER-67883","IDL checker script allowlist can't have same name for different parameters of ne","[DO NOT USE] Backlog - Replication Team","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-67883"
"SERVER-67675","Create a fuzzer for timeseries changestreams","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-67675"
"SERVER-67674","Internal Events","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-67674"
"SERVER-67673","Additional Sharding DDL","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-67673"
"SERVER-67672","Sharding DDL","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-67672"
"SERVER-67671","DDL events","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-67671"
"SERVER-67670","DDL Index Events","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-67670"
"SERVER-67669","Change event rewrites for measurements","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-67669"
"SERVER-67668","Change event rewrites for metadata","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-67668"
"SERVER-67667","Implement change stream resumability for streams on timeseries collections","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-05","https://jira.mongodb.org/browse/SERVER-67667"
"SERVER-67524","ExchangeConsumer doesn't propagate doSaveState call to ExchangeProducer","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-06","https://jira.mongodb.org/browse/SERVER-67524"
"SERVER-66569","Allow priority takeover without direct heartbeats from the current primary","[DO NOT USE] Backlog - Replication Team","Major - P3","Open","2022-12-06","https://jira.mongodb.org/browse/SERVER-66569"
"SERVER-66512","Unify all the sharded change stream JS tests into a single directory","[DO NOT USE] Backlog - Query Execution","Major - P3","Open","2022-12-06","https://jira.mongodb.org/browse/SERVER-66512"
"SERVER-66282","BGHook doesn't stop its background thread after a test failure","[DO NOT USE] Backlog - Replication Team","Major - P3","Open","2022-12-06","https://jira.mongodb.org/browse/SERVER-66282"
"SERVER-66244","Hinting global index fails with a friendly error message","[DO NOT USE] Backlog - Query Optimization","Major - P3","Open","2022-12-06","https://jira.mongodb.org/browse/SERVER-66244"
"SERVER-66100","BSONObjectTooLarge and Error creating initial sync progress object errors","[DO NOT USE] Backlog - Replication Team","Major - P3","Open","2022-12-06","https://jira.mongodb.org/browse/SERVER-66100"
"SERVER-66094","Support client-side encrypted fields in collection validator","[DO NOT USE] Backlog - Query Optimization","Major - P3","Open","2022-12-06","https://jira.mongodb.org/browse/SERVER-66094"
"SERVER-66092","Support client-side encrypted fields in index partialFilterExpression","[DO NOT USE] Backlog - Query Optimization","Major - P3","Open","2022-12-06","https://jira.mongodb.org/browse/SERVER-66092"
"SERVER-64751","ApplyOpsCommandInfo::areOpsCrudOnly() considers n ops as crud","[DO NOT USE] Backlog - Replication Team","Major - P3","Open","2022-12-06","https://jira.mongodb.org/browse/SERVER-64751"
