key,summary,assignee,priority,status,last_updated,url
"SERVER-123107","Pin Windows SDK across master + all release branches","Daniel Moody","Major - P3","Closed","2026-05-21","https://jira.mongodb.org/browse/SERVER-123107"
"SERVER-126784","Enable Remote Asset API External Artifact Caching for Releases","Zack Winter","Major - P3","In Code Review","2026-05-21","https://jira.mongodb.org/browse/SERVER-126784"
"SERVER-120808","Create a workload that demonstrates that spike in read or write ops can overload","Jiaqi Tian","Major - P3","Backlog","2026-05-20","https://jira.mongodb.org/browse/SERVER-120808"
"SERVER-126385","Make unit tests that exercise _writeStateToContainer write conflict retry","Stephanie Eristoff","Major - P3","In Progress","2026-05-20","https://jira.mongodb.org/browse/SERVER-126385"
"SERVER-105043","Upgrade to llvm/clang-22","Daniel Moody","Critical - P2","Open","2026-05-20","https://jira.mongodb.org/browse/SERVER-105043"
"SERVER-124943","Add queuing support to the IngressRequestRateLimiter","Matt Broadstone","Major - P3","Closed","2026-05-20","https://jira.mongodb.org/browse/SERVER-124943"
"SERVER-126413","Ensure correct phase is persisted for PDIB","Gregory Noma","Major - P3","Closed","2026-05-20","https://jira.mongodb.org/browse/SERVER-126413"
"SERVER-121822","Clustered collections do not correctly filter out results with $lt on _id","Naafiyan Ahmed","Critical - P2","Closed","2026-05-20","https://jira.mongodb.org/browse/SERVER-121822"
"SERVER-121912","Upgrade tcmalloc to include rseq bug fix","Unassigned","Major - P3","Open","2026-05-20","https://jira.mongodb.org/browse/SERVER-121912"
"SERVER-73120","Remove recordRemoteOpWaitTime when we release 8.0","Jan Steemann","Major - P3","Closed","2026-05-20","https://jira.mongodb.org/browse/SERVER-73120"
"SERVER-89169","Remove Feature Flag for PM-3728","Joan Bruguera Micó","Major - P3","Closed","2026-05-20","https://jira.mongodb.org/browse/SERVER-89169"
"SERVER-121952","200ms regression per query when using optimizationTimeNanos compared to using op","Hagar Mohamed","Major - P3","Closed","2026-05-19","https://jira.mongodb.org/browse/SERVER-121952"
"SERVER-126248","Make a better conditional for when to write to the container during the first dr","Stephanie Eristoff","Major - P3","Closed","2026-05-18","https://jira.mongodb.org/browse/SERVER-126248"
"SERVER-108215","Impose limits on the number of active multi-document transactions","Denis Trailin","Major - P3","In Code Review","2026-05-18","https://jira.mongodb.org/browse/SERVER-108215"
"SERVER-120304","Snapshot time may advance before fetching a command's operationTime","Brad Cater","Major - P3","Closed","2026-05-18","https://jira.mongodb.org/browse/SERVER-120304"
"SERVER-124171","Disambiguate user-defined collection schema violations from timeseries schema vi","Malik Endsley","Major - P3","Closed","2026-05-15","https://jira.mongodb.org/browse/SERVER-124171"
"SERVER-119886","Add fle2 enterprise tests in FCV upgrade/downgrade suites","Erwin Pe","Major - P3","Open","2026-05-15","https://jira.mongodb.org/browse/SERVER-119886"
"SERVER-104976","Remove the repairShardedCollectionChunksHistory command","Pol Pinol","Minor - P4","Closed","2026-05-14","https://jira.mongodb.org/browse/SERVER-104976"
"SERVER-108482","kNotIdempotent retry criteria may be too permissive","Wolfee Farkas","Major - P3","Open","2026-05-14","https://jira.mongodb.org/browse/SERVER-108482"
"SERVER-117488","Multiplan only CBR best candidate + not estimables when CBR cannot estimate","Kartal Kaan Bozdogan","Major - P3","Closed","2026-05-14","https://jira.mongodb.org/browse/SERVER-117488"
"SERVER-22749","Better error logging for failures when writing an audit record to the audit log","Unassigned","Major - P3","Backlog","2026-05-14","https://jira.mongodb.org/browse/SERVER-22749"
"SERVER-122589","Make timeseries passthrough tests using parallel shell & failpoints resilient to","Unassigned","Major - P3","Closed","2026-05-13","https://jira.mongodb.org/browse/SERVER-122589"
"SERVER-125892","Add HostUnreachable to retryable errors in implicitly_retry_on_config_stepdowns.","Unassigned","Major - P3","Blocked","2026-05-11","https://jira.mongodb.org/browse/SERVER-125892"
