key,summary,assignee,priority,status,last_updated,url
SERVER-118856,Circular dependency prevents active query checking during transitionToDedicatedConfigServer orphan cleanup,Unassigned,Major - P3,Blocked,2026-02-09,https://jira.mongodb.org/browse/SERVER-118856
SERVER-118855,Add throughputProbing parameters to be runtime fuzz configurable,Unassigned,Major - P3,Blocked,2026-02-12,https://jira.mongodb.org/browse/SERVER-118855
SERVER-118764,Set severity to `MisplacedCollection` and `CollectionUUIDMismatch` metadata inconsistency types,Unassigned,Major - P3,Blocked,2026-02-03,https://jira.mongodb.org/browse/SERVER-118764
SERVER-117945,Append error reporting to the removeShard response,Unassigned,Major - P3,Blocked,2026-02-09,https://jira.mongodb.org/browse/SERVER-117945
SERVER-117486,Shard overwrites bulk write response payload when metadata refresh is interrupted,Unassigned,Major - P3,Blocked,2026-02-06,https://jira.mongodb.org/browse/SERVER-117486
SERVER-117054,Remove timeseries $-prefix upgrade test once 9.0 becomes last-lts,Unassigned,Major - P3,Blocked,2026-01-15,https://jira.mongodb.org/browse/SERVER-117054
SERVER-116387,Align server backpressure handling with drivers specifications,Unassigned,Major - P3,Blocked,2026-01-12,https://jira.mongodb.org/browse/SERVER-116387
SERVER-116151,Delete the NsTargeter class hierarchy,Unassigned,Major - P3,Blocked,2026-01-16,https://jira.mongodb.org/browse/SERVER-116151
SERVER-115755,Remove Feature Flag for SPM-3391,Unassigned,Major - P3,Blocked,2026-02-12,https://jira.mongodb.org/browse/SERVER-115755
SERVER-115725,Make ShardRegistry notify the RSM of new nodes,Unassigned,Major - P3,Blocked,2026-01-19,https://jira.mongodb.org/browse/SERVER-115725
SERVER-115711,Make ShardRegistry use shard UUID,Unassigned,Major - P3,Blocked,2025-12-19,https://jira.mongodb.org/browse/SERVER-115711
SERVER-115641,Remove originalQueryShapeHash feature flag,Unassigned,Major - P3,Blocked,2025-12-18,https://jira.mongodb.org/browse/SERVER-115641
SERVER-115590,Remove view metadata information from the expression context,Unassigned,Major - P3,Blocked,2026-02-19,https://jira.mongodb.org/browse/SERVER-115590
SERVER-115433,Provide consistent cancellation path in NetworkInterfaceTL,Unassigned,Major - P3,Blocked,2025-12-15,https://jira.mongodb.org/browse/SERVER-115433
SERVER-114933,MongoDB replica set fails to add new member,Unassigned,Major - P3,Waiting For User Input,2025-12-06,https://jira.mongodb.org/browse/SERVER-114933
SERVER-114889,Unify mongos overload retry logic with the Client Backpressure Specification,Unassigned,Major - P3,Blocked,2025-12-09,https://jira.mongodb.org/browse/SERVER-114889
SERVER-114521,[DS] Metric to Track Failed Requests to PageServer,Unassigned,Major - P3,Blocked,2025-12-01,https://jira.mongodb.org/browse/SERVER-114521
SERVER-114479, MongoDB 8 crash on startup on Windows after multiple restarts,Unassigned,Major - P3,Waiting For User Input,2025-12-06,https://jira.mongodb.org/browse/SERVER-114479
SERVER-114229,Add pre-flight check to FCV upgrade for invalid wildcard index,Max Verbinnen,Major - P3,Blocked,2026-02-09,https://jira.mongodb.org/browse/SERVER-114229
SERVER-114174,Slow query logs show wrong collection type for aggregations on untracked timeseries collections,Unassigned,Major - P3,Blocked,2026-01-20,https://jira.mongodb.org/browse/SERVER-114174
SERVER-114119,Adapt `appendFlagValueAndMetadata` to take into account the VersionContext,Unassigned,Major - P3,Blocked,2026-01-30,https://jira.mongodb.org/browse/SERVER-114119
SERVER-114110,Pass in a deadline when opening a backup cursor,Unassigned,Major - P3,Blocked,2025-11-26,https://jira.mongodb.org/browse/SERVER-114110
SERVER-113800,Enable setClusterParameters with replicaset started with --shardsvr,Unassigned,Major - P3,Blocked,2025-12-09,https://jira.mongodb.org/browse/SERVER-113800
SERVER-113677,Remove QHVW dashboard comparing 8.0,Colin Stolley,Major - P3,Blocked,2025-11-10,https://jira.mongodb.org/browse/SERVER-113677
SERVER-113418,ChangeStreamPreImages serverStatus can delay metrics,Unassigned,Major - P3,Blocked,2026-01-29,https://jira.mongodb.org/browse/SERVER-113418
SERVER-113373,Enable prepare_transaction_then_migrate.js in multiversion tests once 9.0 is last-lts,Unassigned,Major - P3,Blocked,2025-11-24,https://jira.mongodb.org/browse/SERVER-113373
SERVER-113294,serverStatus (or similar) reports usage of fcv-backwards-incompatible features,Unassigned,Major - P3,Blocked,2025-11-13,https://jira.mongodb.org/browse/SERVER-113294
SERVER-112755,"""Silent"" group references are still pinging group members.",Unassigned,Major - P3,Waiting For User Input,2025-11-19,https://jira.mongodb.org/browse/SERVER-112755
SERVER-112609,Enable create no-op operations on write concern error tests,Unassigned,Major - P3,Blocked,2025-10-17,https://jira.mongodb.org/browse/SERVER-112609
SERVER-112332,Create a dashboard tracking RSTL timeout failures,Unassigned,Major - P3,Blocked,2025-10-27,https://jira.mongodb.org/browse/SERVER-112332
SERVER-112278,"when all regular secondary nodes fail, clients using `readPreference: secondary` cannot perform reads even if healthy hidden secondary nodes exist",Unassigned,Minor - P4,Blocked,2026-01-05,https://jira.mongodb.org/browse/SERVER-112278
SERVER-112011,Remove Intent::BlockingWrite after UninterruptibleLockGuard is gone,Unassigned,Major - P3,Blocked,2025-10-13,https://jira.mongodb.org/browse/SERVER-112011
SERVER-111951,Query planner does not use the same indexes when unrolling an `$or` query,Unassigned,Minor - P4,Waiting For User Input,2025-10-09,https://jira.mongodb.org/browse/SERVER-111951
SERVER-111536,Bind deleteMany with empty filter on replicated truncate,Unassigned,Major - P3,Blocked,2025-09-26,https://jira.mongodb.org/browse/SERVER-111536
SERVER-111126,Improve timeout check on proxy port,Didier Nadeau,Major - P3,Blocked,2025-10-09,https://jira.mongodb.org/browse/SERVER-111126
SERVER-110221,Remove multiversion checks once SERVER-90889 is backported,Unassigned,Major - P3,Blocked,2025-10-10,https://jira.mongodb.org/browse/SERVER-110221
SERVER-109340,Change stream `documentKey` misreports shard key for dotted fields.,Unassigned,Major - P3,Blocked,2025-09-22,https://jira.mongodb.org/browse/SERVER-109340
SERVER-109023,Require specification of timeoutCode when timeout is specified in RemoteCommandRequest,Unassigned,Major - P3,Blocked,2025-08-11,https://jira.mongodb.org/browse/SERVER-109023
SERVER-108928,Set should_forward_to_shards for rawData generic argument,Unassigned,Major - P3,Blocked,2025-11-05,https://jira.mongodb.org/browse/SERVER-108928
SERVER-108921,Consider propagating the version context to alternative client/opCtx,Unassigned,Major - P3,Blocked,2026-02-13,https://jira.mongodb.org/browse/SERVER-108921
SERVER-108139,Create BucketLifecycleManager interface,Binh Vo,Major - P3,Blocked,2025-08-07,https://jira.mongodb.org/browse/SERVER-108139
SERVER-108071,Handle top level StaleConfig errors in write commands,Unassigned,Major - P3,Blocked,2025-07-24,https://jira.mongodb.org/browse/SERVER-108071
SERVER-108019,Fix how voters are counted in _validate in reconfig,Unassigned,Major - P3,Blocked,2025-09-19,https://jira.mongodb.org/browse/SERVER-108019
SERVER-107700,Remove CheckShardFilteringMetadata hook in favor of checkMetadataConsistency,Unassigned,Major - P3,Blocked,2025-07-17,https://jira.mongodb.org/browse/SERVER-107700
SERVER-107690,Capture Detailed Index Build Metrics and Information,Unassigned,Major - P3,Blocked,2025-11-24,https://jira.mongodb.org/browse/SERVER-107690
SERVER-107480,Avoid checkMetadataConsistency false positives due to sintatically mismatching storage engine config string,Unassigned,Major - P3,Blocked,2025-09-02,https://jira.mongodb.org/browse/SERVER-107480
SERVER-107148,Remove Feature Flag for SPM-4301,[DO NOT USE] Backlog - Catalog and Routing,Major - P3,Blocked,2025-08-13,https://jira.mongodb.org/browse/SERVER-107148
SERVER-106941,"Mirror cloud's addition of ""wiredTigerSkipTableLoggingChecksOnStartup=true"" in server/tests",Unassigned,Minor - P4,Blocked,2025-11-24,https://jira.mongodb.org/browse/SERVER-106941
SERVER-106849,Support $vectorSearch in lookup subpipeline on a view,Unassigned,Major - P3,Blocked,2025-07-03,https://jira.mongodb.org/browse/SERVER-106849
